variables,units,values,description
materials.rho_fiber,kg/m**3,[   0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.     0.     0. ],1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1235. 1100. 1940. 1600. 1940. 1940.  130. 1150. 7800. 7800.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,"[0.         0.         7.22716222 6.23076923 1.44543244 1.44543244
 0.         0.         0.         0.        ]",1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,[0.0005 0.001  0.005  0.005  0.001  0.001  0.     0.     0.     0.    ],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,"[0.         0.         0.57       0.69230769 0.57       0.57
 0.         0.         0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,"[0.         0.         0.74506827 0.77884615 0.74506827 0.74506827
 0.         0.         0.         0.        ]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",1D array of names of materials.
materials.component_id,Unavailable,[ 0. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
hub.diameter,m,[6.],
blade.outer_shape_bem.s_default,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.7        0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
